"job_title_short","job_country","yearly_salary"
"Software Engineer","Panama","46000.00"
"Senior Data Engineer","Greece","45000.00"
"Data Engineer","Algeria","45000.00"
"Data Engineer","Armenia","45000.00"
"Data Analyst","Algeria","44100.00"
"Software Engineer","Mauritius","44100.00"
"Software Engineer","Uganda","44100.00"
"Business Analyst","Italy","43200.00"
"Data Scientist","Tunisia","36000.00"
"Data Scientist","Macedonia (FYROM)","36000.00"
"Business Analyst","Kenya","36000.00"
"Data Engineer","China","36000.00"
"Software Engineer","Kazakhstan","33455.00"
"Business Analyst","Slovenia","30000.00"
"Data Analyst","Bahamas","28800.00"
"Data Scientist","Belarus","24960.00"
"Business Analyst","Bangladesh","16500.00"
"Data Analyst","Zimbabwe","8640.00"
